filename,label,notes
ph_bubble_20260428_010634_161_guess1_conf0.94.png,1,manual run 2026-04-28
ph_bubble_20260428_010654_170_guess3_conf0.94.png,2,manual correction
ph_bubble_20260428_010719_166_guess2_conf0.94.png,3,manual correction
ph_bubble_20260428_010737_882_guess1_conf0.94.png,,unknown skipped by user
ph_bubble_20260428_010758_803_guess1_conf0.94.png,1,manual run 2026-04-28
ph_bubble_20260428_010818_219_guess2_conf0.94.png,1,manual correction
ph_bubble_20260428_010921_680_guess3_conf0.94.png,3,manual run 2026-04-28
ph_bubble_20260428_010947_156_guess3_conf0.96.png,2,manual correction
ph_bubble_20260428_011012_194_guess3_conf0.98.png,3,manual run 2026-04-28
ph_bubble_20260428_011031_779_guess2_conf0.96.png,3,manual correction
ph_bubble_20260428_011054_349_guess3_conf0.96.png,3,manual run 2026-04-28
ph_bubble_20260428_011119_415_guess2_conf0.91.png,2,manual correction
ph_bubble_20260428_011139_417_guess3_conf0.93.png,,not present in user sequence
ph_bubble_20260428_011709_849_guess3_conf0.96.png,3,manual run 2026-04-28 second batch
ph_bubble_20260428_011731_505_guess3_conf0.93.png,2,manual correction second batch
ph_bubble_20260428_011751_431_guess1_conf0.93.png,1,manual run 2026-04-28 second batch
ph_bubble_20260428_011811_022_guess2_conf0.93.png,2,manual run 2026-04-28 second batch
ph_bubble_20260428_011835_403_guess1_conf0.95.png,3,manual correction second batch
ph_bubble_20260428_011910_221_guess3_conf0.91.png,2,manual correction second batch
ph_bubble_20260428_011930_026_guess2_conf0.93.png,3,manual correction second batch
ph_bubble_20260428_011950_144_guess1_conf0.95.png,3,manual correction second batch
ph_bubble_20260428_012010_323_guess2_conf0.93.png,1,manual correction second batch
ph_bubble_20260428_012030_236_guess1_conf0.95.png,3,manual correction second batch
ph_bubble_20260428_012049_334_guess3_conf0.93.png,2,manual correction second batch
ph_bubble_20260428_012727_131_guess1_conf0.93.png,1,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012749_013_guess1_conf0.93.png,1,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012809_013_guess3_conf0.95.png,3,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012828_619_guess2_conf0.93.png,2,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012851_536_guess1_conf0.93.png,1,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012913_094_guess2_conf0.91.png,2,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012932_587_guess1_conf0.91.png,1,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_012955_725_guess2_conf0.91.png,2,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_013017_867_guess1_conf0.93.png,1,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_013037_762_guess3_conf0.95.png,3,manual confirmed 2026-04-28 third batch
ph_bubble_20260428_013056_611_guess1_conf0.93.png,1,manual confirmed 2026-04-28 third batch
